wheelbase,curbweight,enginesize,horsepower,peakrpm,citympg,highwaympg,price,fueltype_gas,aspiration_turbo,doornumber_two,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two
88.6,2548,130,111,5000,21,27,13495.0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
88.6,2548,130,111,5000,21,27,16500.0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
94.5,2823,152,154,5000,19,26,16500.0,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
99.8,2337,109,102,5500,24,30,13950.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
99.4,2824,136,115,5500,18,22,17450.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
99.8,2507,136,110,5500,19,25,15250.0,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
105.8,2844,136,110,5500,19,25,17710.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
105.8,2954,136,110,5500,19,25,18920.0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False
105.8,3086,131,140,5500,17,20,23875.0,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
99.5,3053,131,160,5500,16,22,17859.167,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
101.2,2395,108,101,5800,23,29,16430.0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
101.2,2395,108,101,5800,23,29,16925.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
101.2,2710,164,121,4250,21,28,20970.0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
101.2,2765,164,121,4250,21,28,21105.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
103.5,3055,164,121,4250,20,25,24565.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
103.5,3230,209,182,5400,16,22,30760.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
103.5,3380,209,182,5400,16,22,41315.0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
110.0,3505,209,182,5400,15,20,36880.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
88.4,1488,61,48,5100,47,53,5151.0,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
94.5,1874,90,70,5400,38,43,6295.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,1909,90,70,5400,38,43,6575.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1876,90,68,5500,37,41,5572.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1876,90,68,5500,31,38,6377.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,2128,98,102,5500,24,30,7957.0,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1967,90,68,5500,31,38,6229.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1989,90,68,5500,31,38,6692.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1989,90,68,5500,31,38,7609.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,2191,98,102,5500,24,30,8558.0,True,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
103.3,2535,122,88,5000,24,30,8921.0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.9,2811,156,145,5000,19,24,12964.0,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
86.6,1713,92,58,4800,49,54,6479.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
86.6,1819,92,76,6000,31,38,6855.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1837,79,60,5500,38,42,5399.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1940,92,76,6000,30,34,6529.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1956,92,76,6000,30,34,7129.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2010,92,76,6000,30,34,7295.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2024,92,76,6000,30,34,7295.0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2236,110,86,5800,27,33,7895.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2289,110,86,5800,27,33,9095.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2304,110,86,5800,27,33,8845.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2372,110,86,5800,27,33,10295.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2465,110,101,5800,24,28,12945.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2293,110,100,5500,25,31,10345.0,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.3,2337,111,78,4800,24,29,6785.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
94.5,1874,90,70,5400,38,43,8916.5,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,1909,90,70,5400,38,43,8916.5,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.0,2734,119,90,5000,24,29,11048.0,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
113.0,4066,258,176,4750,15,19,32250.0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
113.0,4066,258,176,4750,15,19,35550.0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
102.0,3950,326,262,5000,13,17,36000.0,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
93.1,1890,91,68,5000,30,31,5195.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.1,1900,91,68,5000,31,38,6095.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.1,1905,91,68,5000,31,38,6795.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.1,1945,91,68,5000,31,38,6695.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.1,1950,91,68,5000,31,38,7395.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.3,2380,70,101,6000,17,23,10945.0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
95.3,2380,70,101,6000,17,23,11845.0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
95.3,2385,70,101,6000,17,23,13645.0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
95.3,2500,80,135,6000,16,23,15645.0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
98.8,2385,122,84,4800,26,32,8845.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
98.8,2410,122,84,4800,26,32,8495.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
98.8,2385,122,84,4800,26,32,10595.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
98.8,2410,122,84,4800,26,32,10245.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
98.8,2443,122,64,4650,36,42,10795.0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
98.8,2425,122,84,4800,26,32,11245.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
104.9,2670,140,120,5000,19,27,18280.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
104.9,2700,134,72,4200,31,39,18344.0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
110.0,3515,183,123,4350,22,25,25552.0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
110.0,3750,183,123,4350,22,25,28248.0,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
106.7,3495,183,123,4350,22,25,28176.0,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
115.6,3770,183,123,4350,22,25,31600.0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
115.6,3740,234,155,4750,16,18,34184.0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
96.6,3685,234,155,4750,16,18,35056.0,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
120.9,3900,308,184,4500,14,16,40960.0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
112.0,3715,304,184,4500,14,16,45400.0,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
102.7,2910,140,175,5000,19,24,16503.0,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1918,92,68,5500,37,41,5389.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1944,92,68,5500,31,38,6189.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,2004,92,68,5500,31,38,6669.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.0,2145,98,102,5500,24,30,7689.0,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.3,2370,110,116,5500,23,30,9959.0,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.3,2328,122,88,5000,25,32,8499.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.9,2833,156,145,5000,19,24,12629.0,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.9,2921,156,145,5000,19,24,14869.0,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.9,2926,156,145,5000,19,24,14489.0,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.3,2365,122,88,5000,25,32,6989.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.3,2405,122,88,5000,25,32,8189.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.3,2403,110,116,5500,23,30,9279.0,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.3,2403,110,116,5500,23,30,9279.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,1889,97,69,5200,31,37,5499.0,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,2017,103,55,4800,45,50,7099.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,1918,97,69,5200,31,37,6649.0,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,1938,97,69,5200,31,37,6849.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,2024,97,69,5200,31,37,7349.0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,1951,97,69,5200,31,37,7299.0,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,2028,97,69,5200,31,37,7799.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,1971,97,69,5200,31,37,7499.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,2037,97,69,5200,31,37,7999.0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.1,2008,97,69,5200,31,37,8249.0,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
97.2,2324,120,97,5200,27,34,8949.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
97.2,2302,120,97,5200,27,34,9549.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
100.4,3095,181,152,5200,17,22,13499.0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
100.4,3296,181,152,5200,17,22,14399.0,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False
100.4,3060,181,152,5200,19,25,13499.0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
91.3,3071,181,160,5200,19,25,17199.0,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
91.3,3139,181,200,5200,17,23,19699.0,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
99.2,3139,181,160,5200,19,25,18399.0,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
107.9,3020,120,97,5000,19,24,11900.0,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
107.9,3197,152,95,4150,28,33,13200.0,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
114.2,3230,120,97,5000,19,24,12440.0,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False
114.2,3430,152,95,4150,25,25,13860.0,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False
107.9,3075,120,95,5000,19,24,15580.0,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
107.9,3252,152,95,4150,28,33,16900.0,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
114.2,3285,120,95,5000,19,24,16695.0,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False
114.2,3485,152,95,4150,25,25,17075.0,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False
107.9,3075,120,97,5000,19,24,16630.0,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
107.9,3252,152,95,4150,28,33,17950.0,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
108.0,3130,134,142,5600,18,24,18150.0,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
93.7,1918,90,68,5500,37,41,5572.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,2128,98,102,5500,24,30,7957.0,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1967,90,68,5500,31,38,6229.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1989,90,68,5500,31,38,6692.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,2191,98,68,5500,31,38,7609.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
103.3,2535,122,88,5000,24,30,8921.0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.9,2818,156,145,5000,19,24,12764.0,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
94.5,2778,151,143,5500,19,27,22018.0,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
89.5,2756,194,207,5900,17,25,32528.0,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
89.5,2756,194,207,5900,17,25,34028.0,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
89.5,2800,194,207,5900,17,25,37028.0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
98.4,3366,203,288,5750,17,28,31400.5,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
96.1,2579,132,90,5100,23,31,9295.0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.1,2460,132,90,5100,23,31,9895.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
99.1,2658,121,110,5250,21,28,11850.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
99.1,2695,121,110,5250,21,28,12170.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
99.1,2707,121,110,5250,21,28,15040.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
99.1,2758,121,110,5250,21,28,15510.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
99.1,2808,121,160,5500,19,26,18150.0,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
99.1,2847,121,160,5500,19,26,18620.0,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
93.7,2050,97,69,4900,31,36,5118.0,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
93.7,2120,108,73,4400,26,31,7053.0,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
93.3,2240,108,73,4400,26,31,7603.0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
97.2,2145,108,82,4800,32,37,7126.0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
97.2,2190,108,82,4400,28,33,7775.0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
97.2,2340,108,94,5200,26,32,9960.0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
97.0,2385,108,82,4800,24,25,9233.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
97.0,2510,108,111,4800,24,29,11259.0,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
97.0,2290,108,82,4800,28,32,7463.0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False
97.0,2455,108,94,5200,25,31,10198.0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False
96.9,2420,108,82,4800,23,29,8013.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
96.9,2650,108,111,4800,23,23,11694.0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
95.7,1985,92,62,4800,35,39,5348.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.7,2040,92,62,4800,31,38,6338.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.7,2015,92,62,4800,31,38,6488.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.7,2280,92,62,4800,31,37,6918.0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.7,2290,92,62,4800,27,32,7898.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
95.7,3110,92,62,4800,27,32,8778.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
95.7,2081,98,70,4800,30,37,6938.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.7,2109,98,70,4800,30,37,7198.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.7,2275,110,56,4500,34,36,7898.0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.7,2275,110,56,4500,38,47,7788.0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.7,2094,98,70,4800,38,47,7738.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.7,2122,98,70,4800,28,34,8358.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.7,2140,98,70,4800,28,34,9258.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,2169,98,70,4800,29,34,8058.0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
94.5,2204,98,70,4800,29,34,8238.0,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
94.5,2265,98,112,6600,26,29,9298.0,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
94.5,2300,98,112,6600,26,29,9538.0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
98.4,2540,146,116,4800,24,30,8449.0,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
98.4,2536,146,116,4800,24,30,9639.0,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
98.4,2551,146,116,4800,24,30,9989.0,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
98.4,2679,146,116,4800,24,30,11199.0,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
98.4,2714,146,116,4800,24,30,11549.0,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
98.4,2975,146,116,4800,24,30,17669.0,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
102.4,2326,122,92,4200,29,34,8948.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
102.4,2480,110,73,4500,30,33,10698.0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
102.4,2414,122,92,4200,27,32,9988.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
102.4,2414,122,92,4200,27,32,10898.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
102.4,2458,122,92,4200,27,32,11248.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
102.9,2976,171,161,5200,20,24,16558.0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
102.9,3016,171,161,5200,19,24,15998.0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
104.5,3131,171,156,5200,20,24,15690.0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
104.5,3151,161,156,5200,19,24,15750.0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
97.3,2261,97,52,4800,37,46,7775.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
97.3,2209,109,85,5250,27,34,7975.0,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
97.3,2264,97,52,4800,37,46,7995.0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
97.3,2212,109,85,5250,27,34,8195.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
97.3,2275,109,85,5250,27,34,8495.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
97.3,2319,97,68,4500,37,42,9495.0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
97.3,2300,109,100,5500,26,32,9995.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,2254,109,90,5500,24,29,11595.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,2221,109,90,5500,24,29,9980.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
100.4,2661,136,110,5500,19,24,13295.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
100.4,2579,97,68,4500,33,38,13845.0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
100.4,2563,109,88,5500,25,31,12290.0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
104.3,2912,141,114,5400,23,28,12940.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
104.3,3034,141,114,5400,23,28,13415.0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
104.3,2935,141,114,5400,24,28,15985.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
104.3,3042,141,114,5400,24,28,16515.0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
104.3,3045,130,162,5100,17,22,18420.0,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
104.3,3157,130,162,5100,17,22,18950.0,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
109.1,2952,141,114,5400,23,28,16845.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
109.1,3049,141,160,5300,19,25,19045.0,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
109.1,3012,173,134,5500,18,23,21485.0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
109.1,3217,145,106,4800,26,27,22470.0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
109.1,3062,141,114,5400,19,25,22625.0,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
